,title,price,nbn,address,text,area,type,lattitude,longitude
62,"3, 93 Cavanagh Street, Cheltenham, VIC 3192 - For Sale - Hotel/Leisure ",Contact Agent,Service Available - Hybrid Fibre Coaxial (HFC),"93 Cavanagh Street, Cheltenham, VIC","This fabulous 70sqm* retail shop has benefited from a substantial fit-out that has transformed the space into an award winning cafe.
Fronting onto Cavanagh St, the property is perfectly positioned to cater for the local community and enjoys easy access to all local amenities.
The cafe occupies 2 shops both of which are for sale and will appeal to investors looking for a strong tenant on a long term lease.
The current rent is $23,000pa nett + GST on a 5 + 5 + 5 year lease starting in 1st April 2016.
The front counter spans both shops with shop 3 used for the kitchen, food preparation and seating.
There is one allocated car park at the rear of the property and ample street parking for customers.
All Inquiries Contact John Black 0419341986
*Approx.",70m²,Retail,-37.9578629,145.0661131
63,"21/22-26 Cessna Drive, Caboolture, QLD 4510 - For Sale - Industrial - ID: 374041",Contact Agent,Service Available - Fibre to the node (FTTN),"26 Cessna Drive, Caboolture, QLD","- 59 m2 open plan warehouse
- Tenanted to 10 Dec 21
- Returning $12,300 PA nett
- Container height roller door
- Kitchenette
- Internal toilet
- Natural lighting
- Phone & data provision
- Signage provision facing Cessna Drive
- Positioned at front of complex with great exposure to Cessna Drive
- Ease of access to Bruce Highway and Bribie Island Interchange
Call The Commercial Guys today to book your inspection or for further information.
*Unless otherwise stated, the price/property may be subject to GST.",59m²,NaN,-27.0857464,152.9829085
64,"28/115 Wickham Street, Fortitude Valley, QLD 4006 - Sale / Lease - Offices - ID: 368287",Contact Agent,Service Available - Fibre to the building (FTTB),"115 Wickham Street, Fortitude Valley, QLD","Elders Commercial Brisbane are pleased to present to the market for sale/lease this unique opportunity to secure this fitted office space in the heart of Fortitude Valley. The properties location is ideal, benefiting from being within close proximity to the CBD providing excellent amenity and public transport options. Other features of the tenancy include:
- 189m2 of well configured space
- Reception, waiting area, office & 2 large open plan areas
- Excellent natural light & air condition throughout
- Large breakout area with kitchen facilities
- Fantastic onsite car parking
- Only moments to the Fortitude Valley station & eateries
- Suited to an array of business styles including office use or as a training facility.
For more information or to arrange an inspection, please don't hesitate to give your Exclusive Elders Commercial agents a call today!",189m²,NaN,-27.4592885,153.0320594
65,"Shop 2 347-349 Rocky Point Road, Sans Souci, NSW 2219 - For Sale - Offices - ID: 377441",N/A,Service Available - Fibre to the curb (FTTC),"2 347-349 Rocky Point Road, Sans Souci, NSW","Ideally located on one of South Sydney's major arterial road networks. Situated opposite McDonalds and KFC within metres to the Sandringham Street Intersection.
Niemeyer Commercial Industrial Property are pleased to offer to the market this quality commercial investment opportunity For Sale;
- Modern mixed use developement
- Ground floor shop with a total area of 54m2
- Rear lane access and onsite allocated parking
- Leased to Crust Pizza for $35,600 per annum plus outgoings plus GST
- Currently leased until 30th November 2021 with 5 year option
- Excellent exposure to passing traffic
- Perfect Opportunity to get a slice of the Commercial Investment Market!
For a copy of the Information Memorandum, Contract of Sale and to Arrange Inspections, please contact Emilios Michael - 0419 014 197 or Andrew Evripidou - 0408 191 250
Tenanted Investment
© 2021 Niemeyer Commercial Industrial Property.",54m²,NaN,-33.9914962,151.1321418
66,"44B Percy Street, Portland, VIC 3305 - For Sale - Offices - ID: 360682","$279,000",Service Available - Fibre to the node (FTTN),"Percy Street, Portland, VIC","This retail premises in the heart of Portland's Central Business District sits as an excellent investment opportunity.
The shop includes retail / commercial space plus work areas and kitchenette, shower and toilet. Zoned Commercial 1 Zone, the building area is approximately 139m2 with street frontage on Portland's main street.
Contact Assets Real Estate today to arrange your inspection.",139m²,NaN,-38.3441463,141.6039103
67,"7 Philip Mall, West Pymble, NSW 2073 - Auction 9/04/2019 - Medical ",Contact Agent,Not Currently Available,"7 Philip Mall, West Pymble, NSW","A rare opportunity for your super fund. This torrens title, well presented property in Philip Mall is occupied by a respected long term tenant with a lease to 2023. Located in the popular West Pymble neighbourhood shopping strip, the property is flanked by a supermarket, pharmacy, cafes, hairdresser and more. Recently treated to a council upgrade, the Mall is well supported by locals and north shore visitors, many customers returning long after they move from the area.
* 176 sqm
* Net income $51,000 + GST
* Long term dental practice
* Leased until 2023 with two further 5 year options
* Ample visitor car parking
* 1 car space at rear
* Moments to Ryde Road and M2",176m²,Offices,-33.7608047,151.1286773
68,"Suite 220-221, 111 Harrington Street, Sydney, nsw 2000 - For Sale - Offices - ID: 381123","$1,500,000",Service Available - Fibre to the building (FTTB),"111 Harrington Street, Sydney, NSW","111 Harrington is the commercial office component of Quay West, located moments from Circular Quay and a short walk to Wynyard Station. The building has high quality services and a refurbishment of the foyer was completed in 2020.
- Harbour Bridge views and great natural light.
- In the heart of the Rocks just moments from Circular Quay.
- Balcony overlooking Gloucester St.
- Parking nearby via Wilson's car park.
- On site pool and gym.
- Existing fit out.
- Next to the Four Seasons Hotel.
- 99m2 over two adjoining lots (54m2 & 45m2).
Strata $2851
Council $324
Water $59
(quoted quarterly and per unit)",99m²,NaN,-33.8616492,151.2069285
69,"Shop 17/427-441 Victoria Avenue, Chatswood, NSW 2067 - Auction 31/03/2021 - Retail - ID: 384311",Under Offer Bill Geroulis 0413 100 200,Service Available - Fibre to the building (FTTB),"441 Victoria Avenue, Chatswood, NSW","* New Lease 3 + 3 + 3
* CPI & Fixed 3% Rent Increases
* Net Income $73,669 pa ex GST
Shead Property are delighted to be appointed exclusive selling agents for Shop 17, 427-441 Victoria Avenue Chatswood.
The very popular food shop will be offered for sale by way of public auction 6pm Wednesday 31 March 2021, the auction will be held at the office of Shead Property, level 1, 75 Archer Street Chatswood.
A rare opportunity to acquire a retail food shop located within a high traffic Shopping Centre situated in the heart of Chatswood CBD.
The shop is trading as Jin Jin Kitchen with the tenant recently undertaking a brand new fitout.
The property has a new 3 + 3 + 3 year lease commencing October 2020, the lease has built in CPI & fixed 3% annual rental increases throughout the lease including the option terms.
The tenant is responsible for 100% of water usage charges, trade waste charges & grease trap removal charges. The lease is secured by a three (3) month bank guarantee and personal guarantee.
With an anticipated net rental return in excess of 5.0%, this is certainly one opportunity not to be missed!
For all enquiries please feel free to contact Ivor Zhou 0430 248 867 or Bill Geroulis 0413 100 200.",46m²,NaN,-33.7960555,151.1824963
70,"895 Pacific Highway, Pymble, NSW 2073 - For Sale - Offices - ID: 387072",N/A,Service Available - Hybrid Fibre Coaxial (HFC),"895 Pacific Highway, Pymble, NSW","CI Australia are delighted to offer Suites 1&2, 895 Pacific Highway, Pymble For Sale via Private Treaty. Suites 1&2 are two centrally located office units in a boutique commercial building within the prized Pymble Business District. The dual tenancy will suit both investors and owner occupiers.
Key selling features include:
- Office Area: 88sqm (46sqm + 42sqm)
- Car Parking: 4 spaces on title
- Perfect for both investors and owner occupiers
- Affordable price point
- Functional fit out in suite 2
- Large windows with leafy outlook
For more information or to arrange an inspection please contact Addison Hunter from CI Australia.",88m²,NaN,-33.7477952,151.1457059
71,"850 Whitehorse Road, Box Hill, VIC 3128 - For Sale - Offices - ID: 387185",Contact Agent,Service Available - Fibre to the premises (FTTP),"850 Whitehorse Road, Box Hill, VIC","Located in the impressive Whitehorse Towers, these ideal 1-2 person offices are perfect those looking for a professional environment in the heart of Box Hill. Whitehorse Towers is a mixed used development with over 500 residential apartments, a luxury hotel and amazing restaurant and café offerings.
Limited commercial offices are available for sale and would be most suited for those wanting to move from their home office or simply break away and start their own business from this prestigious location.
Whitehorse Towers offers a plethora of deluxe on-site amenities to its residents including a 5-star Art Series Hotel; The Chen, superior rooftop pool and entertainment deck including BBQ facilities, fully equipped gymnasium, storage and bicycle spaces, gourmet restaurant & café and boutique retail shops.
Whitehorse Towers is situated opposite Box Hill Central, giving you direct access to an array of department stores, café/ dining options and specialty grocery stores. Nearby you’ll find several elite health and educational institutions including RMIT, Deakin, La Trobe, Swinburne, Monash and Melbourne Universities as well as Box Hill and Epworth Eastern Hospitals. Enjoy easy access to and from Melbourne CBD with the Eastern Freeway entrance two minutes down the road, along with an array of public transport links right on your doorstep.
Call now to inspect - 1300 652 532",15m²,NaN,-37.8176198,145.118358
72,"9/23-25 Skyreach Street, Caboolture, QLD 4510 - For Sale - Industrial ","$320,000 + GST",Service Available - Fibre to the node (FTTN),"25 Skyreach Street, Caboolture, QLD","- 185 m2 tilt panel constructed industrial unit
- Comprising of 100 m2 air-conditioned warehouse + 85 m2 first floor office
- Open plan
- Ducted air conditioning
- Internal toilet amenities
- Kitchenette
- Electric container height roller door
- Council approved mezzanine
- Signage provisions
- Large onsite car park
- Located within the tightly-held complex, Axis Industrial Park
- Option for the unit to be left furnished or unfurnished^
- Complex has dual driveway access
- Ease of access to Bruce Highway
Call The Commercial Guys today to book your inspection or for more property information.
*Unless otherwise stated, the price/property may be subject to GST
^by negotiation",185m²,Offices,-27.0844773,152.9864069
73,"Level 4-5 Suite, 445 Upper Edward Street, Spring Hill, QLD 4000 - For Sale - Offices ",Contact Agent,Not Currently Available,"445 Upper Edward Street, Spring Hill, QLD","Elders Commercial Brisbane present, 445 Upper Edward Street, Spring Hill for sale. This is a rare opportunity to secure an office space seconds from the Brisbane CBD. Cafes restaurants and bars are at your doorstep. The property has been fitted out with reception, 3 private offices and open plan work areas. The office is over two lots of 58m2 and 89m2 and can be sold as a whole 147m2 with 2 car parks or two separate units with a car park each.
Key features of the property include:
- Approx. 147m2 of office space
- Close proximity to all forms of transport
- Fantastic Natural Light
- Refurbished Building
Please do not hesitate to call your Elders Commercial Agents for further information or to arrange an inspection!",147m²,Medical,-27.463467,153.0247778
74,"Shop 1, 220 Goulburn Street, Surry Hills, NSW 2010 - Auction 12/05/2021 - Retail ",Auction - Wednesday 12th May @ 11.30 am on site,Service Available - Fibre to the curb (FTTC),"220 Goulburn Street, Surry Hills, NSW","Raine and Horne Commercial is pleased to offer for sale by public Auction this affordable shop located at 1/220 Goulburn Street, Surry Hills.
This well-presented property is ideally set up for a variety of different uses such as retail, medical, beauty, day spa, nails or offices.
It features excellent frontage to Goulburn Street and at the entrance of a popular 17-level residential apartment block.
The building offers indoor swimming and spa pools, as well as the communal rooftop area, is also freely accessible with 2 car spaces on title - rare for this area.
Close to Crown Street and Oxford St with its array of cafe's, restaurants and well established businesses, excellent public transport and only moments to the heart of the CBD .
KEY PROPERTY FEATURES:
• Building area: 51 Sqm (approx.)
• Two Car Spaces and storage
• Set-up as ready to go as a beautician with 4 Consulting rooms or alternately suit medical, hairdresser, offices or retail
• Large storage room, shared toilets on the floor
• Stylish building and foyer + 15 visitors car spaces
• To be offered with vacant possession
• This property will be sold",51m²,Medical,-33.8796087,151.2139138
75,"9 Tufton Street, Bowen Hills, QLD 4006 - Sale / Lease - Offices ",Contact Agent,Service Available - Fibre to the curb (FTTC),"9 Tufton Street, Bowen Hills, QLD","Elders Commercial are pleased to present to the market for SALE/LEASE, 9 Tufton Street Bowen Hills. For the first time in 20 years, the opportunity has come available for SALE! This commercial freestanding building features 130m2 of adaptable character office/consulting space on a 427m2 inner city land parcel. Do not miss out on this opportunity to secure an exceptional commercial asset with extraordinary value add potential.
Key features of the property include:
- 130m2 total NLA
- 427m2 regular shaped inner city land parcel
- Parking for up to nine (9) cars onsite
- Kitchen & bathroom amenity on both levels
- Installed with security system and both ducted & split system air-conditioning
- Walking distance to bus & rail
- Moments to King Street & RBWH
- Immediate access to the Brisbane CBD
For further information or to arrange an inspection, please contact your exclusive Elders Commercial Agents today!",130m²,Medical,-27.447676,153.0342929
76,"51 Nelson Road, Yennora, NSW 2161 - For Sale - Offices - ID: 326502",N/A,Not Currently Available,"51 Nelson Road, Yennora, NSW","Platform 51 is situated on Nelson Road within a 4 minute walk to Yennora Train Station
Strtegically located within close proximity to several major arterial roads including The Cumberland Highway, the M4 Motorway, The Horsley Drive and Woodville Road.
Yennora is a central western suburb of Sydney situated approximately 24* kilometres west of the Sydney CBD. Strong demand has driven a number of developments in Yennora.
The Yennora Distribution Centre is located directly north of the property. Further industrial development is located within the surrounding suburbs of Fairfield East, Villawood, Smithfield and Wetherill Park
Platform 51 is Yennora's newest high quality strata warehouse and showroom development. Conveniently located 300 metres from Yennora Train Station.
• Construction is complete and ready to occupy
• Strategically located within close proximity to The Cumberland Highway, The M4 Motorway, The Horsley Drive and Woodville Road
• Within a 4 minute walk to Yennora Train Station
• Flexible sizes ranging from 166m² to 364m²
• Functional layout with well proportioned office and generous parking
• Wide driveways and high clearance for easy access and storage
• High quality finishes
• Great SMSF investment
For a full information pack or to arrange an inspection please contact the exclusive agents.
Given the current shortage of industrial units in this size range, we are confident that these units will sell quickly.
Vacant
© 2021 Niemeyer Commercial Industrial Property.",166m² - 345m²,NaN,-33.8635903,150.9667632
77,"26/1-5 Harrow Road, Auburn, NSW 2144 - For Sale - Offices ",Price on application,Service Available,"5 Harrow Road, Auburn, NSW","Great opportunity for investors or owner occupiers to purchase a commercial property that could be used as a shop or office in the busy Auburn Business Centre. The property offers:
* Approx. 39 sqm of commercial office / shop space
* 1 secure carspace
* Vacant possession
* Opposite Auburn Central Shopping Centre
* Lift and escalator access
* Located minutes away from Bus and Auburn Railway Station",80m²,Retail,-33.8507812,151.0312881
78,"Unit 4,160 Bolsover Street, Rockhampton City, QLD 4700 - For Sale - Offices ","$199,000",Service Available,"160 Bolsover Street, Rockhampton City, QLD","This 70 square metre unit is currently tenanted until end Feb 2021 so could be owner occupied from that date.
Feature include:-
* Absolute prime position location exposure in the heart of Rockhampton CBD
* Ground floor premises with full disabled access
* 2 offices, reception, waiting room, internal toilet and lunch staff room
* NBN compliant phone system included
* Secure undercover carparking
* Very negotiable
For all details contact Diane Edwards on 0407 582901",70m²,Offices,-23.3780711,150.5112095
79,"10/61 Holdsworth Street, Coorparoo, QLD 4151 - For Sale - Industrial ",Contact Agent,Service Available - Hybrid Fibre Coaxial (HFC),"61 Holdsworth Street, Coorparoo, QLD","Located in Coorparoo's emerging business hub, this property has great access to all forms of public transport with the Coles and Woolworths centres just a stones throw away. 55-61 Holdsworth Street is Coorparoo's premier commercial complex, this 198m2 offering consists of 100m2 of office over 2 levels and 98m2 of high bay warehouse.
Further features of the property include:
- 3 car parks on the title.
- QPP-DC2 - DISTRICT CENTRE (CORRIDOR) ZONE
- Container height roller door access.
- Multiple amenities and shower.
- emerging precinct.
Located just 50m away from Coorparoo square and the Maasra unit development site, this hub has huge growth upside and a fantastic opportunity to own a part of this precinct at entry level prices.
For more information or to arrange an inspection, contact the EXCLUSIVE ELDERS Commercial Agent!",198m²,Offices,-27.494809,153.0561297
80,"Lot 13/2A Brown Street, Ashfield, NSW 2131 - For Sale - Retail ",Contact Agent,Not Currently Available,"Brown Street, Ashfield, NSW","Great opportunity to purchase retail/office/medical consulting strata lot. The building is currently occupied by a GYM, Caf, Medical Centre, Government Employment Services and other professional users. Be the first to occupy these lots in a brand new highly sought after building in an excellent location. Located opposite Ashfield Station, close to Ashfield mall, Ashfield retail strip, Restaurants and Cafe's.
* Approx. 110 sqm of office/retail
* Approx. 340 sqm total of storage including ATM rental area
* Five car spaces
* 3 hour free public parking
* Blank canvas
* Ready to occupy",110m²,Medical,-33.8879001,151.1256518
81,"445 Upper Edward Street, Spring Hill, QLD 4000 - Sale / Lease - Offices ",Contact Agent,Not Currently Available,"445 Upper Edward Street, Spring Hill, QLD","Elders Commercial Brisbane are pleased to present to the market for SALE/LEASE this outstanding office opportunity in the heart of Spring Hill. Positioned on a corner suite with unrivalled CBD and Western Corridor views, this asset lends itself to all professional users.
The owners have recently undertaken an extensive refurbishment with the highest quality fixtures and fittings investing in access of $300,000. The uniqueness of the fit out offers great natural light flow throughout and the ability to construct further offices easily. The current fit out includes, large boardroom, 2 offices and open plan for approximately 8-10 staff.
The opportunity allows the property to be split into two smaller units, with two separate entrances directly off the lobby area. There is immediate access to Central Station with Brisbane's CBD within 200m.
Key features of the tenancies include:
- 145m2 tenancy with the ability to split into two suites
- Two (2) secure car parks
- State-of-the-art fixtures and fittings throughout
- Panoramic CBD views wraparound glass windows
- Ease of access to public transport nodes & major thoroughfares
- Outstanding opportunity to Occupy / Invest or Tenant in Inner City Brisbane
- Surrounded by shops, restaurants, hotels and conference centres
Fit outs of this calibre are rare to the market, and are sought after within this immediate precinct. A detailed list of inclusions of the fit out can be provided on request.
For more information on this unique office space or to arrange an inspection, please contact your Exclusive Elders Commercial Agent today!",145m²,Medical,-27.4634934,153.024772
82,"31/2 Warren Road, Warnervale, NSW 2259 - For Sale - Industrial - ID: 377043","$142,000 + GST",Not Currently Available,"2 Warren Road, Warnervale, NSW","Storage shed in newly built and highly secure facility, features:
- 31m²* (Council approved mezzanine can be added to double the space)
- Abundant car parking
- Located just off the M1
- First class amenities
- Ground level unit
- Provision for internet & phone connection
Onsite Amenities include:
- Cafe
- Top level security - with electronic gate access and CCTV surveillance.
- Bathrooms with showers and changerooms
For Sale: $142,000 + GST
For Lease: $185 p/w Gross + GST
*Approximately",31m²,NaN,-33.2328883,151.4262827
83,"95 English Street, Manunda, QLD 4870 - Auction 29/04/2021 - Retail ",Auction,Service Available - Fibre to the node (FTTN),"95 English Street, Manunda, QLD","Owner occupiers take note - exciting opportunity to purchase this freehold - control your rent and grow your business here.
Colliers Cairns offers for sale the commercial freehold property located at 95 English Street, Manunda. The subject property is offered for sale by Auction on Thursday 29 April at 11am, to be held at the Colliers office at 35 Lake Street, Cairns.
Move in immediately, with minor cosmetic improvements to capture your business' operations. This city fringe location on a busy connector road delivers a convenient position with maximum exposure to passing traffic.
Suitable for a broad range of business uses - zoned 'Neighbourhood Centre', the commercially zoned freehold is ideal for business including small-scale convenience shopping (food/retail), community services, professional offices and other uses that directly support the immediate and greater community.
This versatile, multipurpose building comprises a single level solid masonry block structure centrally positioned on the property with 5 onsite car parks and drive through ability.
There is plenty of room to grow. The existing improvements are grossly underdeveloped with the zoning permitting upwards of 50% site coverage allowing for future expansion on the ground or alternatively, the construction of a second level while retaining the existing carparking and drive through access.
Features:
-Versatile, multipurpose building
-Zoned ""Neighbourhood Centre""
-Future expansion opportunities
-Maximum exposure to passing traffic
-City fringe location
-Drive through facilities
-On-site car parking
-546m2* land area
-Existing coolrooms and fridges
The motivated seller is committed elsewhere and wants a result now!
Unless sold prior, offers for sale by public auction on Thursday 29 April at 11am. The auction will be held at the Colliers office at 35 Lake Street, Cairns.
For more information, contact Jay Beattie on 0428 551 062.
*approximately
All information contained herein is gathered from sources we believe to be reliable. However, we cannot guarantee its accuracy and interested persons should rely on their own enquiries.
Colliers - a leader in global real estate services, defined by our spirit of enterprise. Through a culture of service excellence and collaboration, we integrate the resources of real estate specialists worldwide to accelerate the success of our partners. We represent property investors, developers and occupiers in local and global markets. Our expertise spans all property sectors - office, industrial, retail, residential, rural & agribusiness, healthcare & retirement living, hotels & leisure. Colliers is Australia's own global real estate success story.",92m²,Retail,-16.9228506,145.7461832
84,"G09, 762 Toorak Road, Glen Iris, VIC 3146 - For Sale - Offices - ID: 386545",Contact Agent,Service Available - Fibre to the building (FTTB),"762 Toorak Road, Glen Iris, VIC","Morley is pleased to offer this outstanding office for sale.
Priced to sell, this opportunity to occupy or invest in the Tooronga Village won’t be on the market for long.
Area: 77m² approx
3 on-site car parks PLUS large additional public car park
Floor to ceiling glass windows onto the shared courtyard creates a desirable work environment
Heating & Cooling, Kitchenette and bathroom facilities
Modern open plan work space
Short term existing income
Only moments from the Monash Freeway and Tooronga train station
Outstanding amenity in the Tooronga Village anchored by Coles and many other outstanding national retailers and cafes
Josh McMullin
0400 248 016",77m²,NaN,-37.8455603,145.0453158
85,"Unit 3, 115 Grand Boulevard, Joondalup, WA 6027 - For Sale - Retail ",Offers Invited,Service Available - Fibre to the node (FTTN),"115 Grand Boulevard, Joondalup, WA","A rare opportunity to purchase or lease a strata unit with excellent exposure to Grand Boulevard and on the corner of Reid Promenade in the heart of the Joondalup CBD.
The strata is located on the ground floor of the Gibraltar Building opposite the Joondalup Courthouse and next door to the recentley completed 'Arthouse Apartments' complex.
Strata Area: 99 sqm
Being sold with vacant possession
Excellent Exposure in the heart of the Joondalup City Centre
Rear secure parking.
Available: Now!
Also available for lease for a minimum term of 5 years
For more information or arrange an inspection, please contact Enzo or Jonathan today..",99m²,Showrooms,-31.7415434,115.7706016
86,"Shop 5, 379 Old South Head Road, North Bondi, NSW 2026 - Auction 13/05/2021 - Retail ",Auction - Thursday 13th May @ 11.30 am on site,Service Available - Hybrid Fibre Coaxial (HFC),"379 Old South Head Road, North Bondi, NSW","Raine and Horne Commercial are pleased to offer for sale by Public Auction an affordable retail investment located at shop 5, 379 Old South Head Road, North Bondi.
This is a rare opportunity to purchase a fully leased retail shop offering excellent exposure and rental growth.
The property offers excellent vehicle and pedestrian traffic flow and exposure and leased to excellent tenants.
Features:
• Building area 50 sqm (approx.)
• Lease term: 3 x 3 year lease
• Fully self-contained retail shop
• Current rent - $29,744 per annum plus GST
• Annual increases of four (4%) percent
• The shop includes air conditioning, own bathroom and kitchen
• Basement Storage
This property will be sold",50m²,Medical,-33.8810924,151.2705652
87,"4/5 Biggs Avenue, Beachmere, QLD 4510 - For Sale - Retail ","$295,000 + GST (if applicable)",Service Available - Fibre to the node (FTTN),"5 Biggs Avenue, Beachmere, QLD","Acreage Lifestyle Properties have enjoyed accelerated success from this location and have outgrown the space. 4/5 Biggs Avenue, Beachmere is now available for a new owner to start growing their own business in this fantastic position.
- 89 m2 approx. of retail/professional office available
- Open plan area ideal for a reception or a 4 station work area
- Professional glass frontage
- Vinyl flooring (tiled underneath)
- Air conditioning throughout tenancy
- Kitchenette with hot & cold water installed
- Control 4 Tech system - CCTV, sound system & display and magnetized door
- Newly installed modem
- Private office (10 m2 approx.)
- Second open plan area (33.64 m2 approx.)
- Data & phone provision
- Grease trap
- Signage provision
- 1 x allocated car park
- Common area male & female toilets
Available vacant possession or Seller is prepared to Lease back during transition to their new location.
Call the Exclusive Agents, The Commercial Guys today to book your inspection or for further information.
*Unless otherwise stated, the price/property may be subject to GST",89m²,Offices,-27.1301982,153.0538988
88,"Lot 59 Nelson Road, Babinda, QLD 4861 - For Sale - Development/Land ","$225,000",Service Available - Satellite (Sky Muster),"59 Nelson Road, Babinda, QLD","Colliers Cairns presents for sale Lot 59 Nelson Road, Babinda.
The 32.38Ha* property is located approximately 2km north of the town centre of Babinda and approximately 32 kms north of the major hub of Innisfail.
The property is mostly forested however there is a small area of gently sloping land near the eastern boundary that is cleared and provides elevated views towards the east. The balance property comprises moderate to steeply sloping natural rainforested hill that rises to the western boundary. Services are understood to be available at the boundary.
Located at the end of the Nelson Road cul-de-sac, the parcel is largely bounded by protected National park on two sides. For those wishing to enjoy the peace and beauty of the rainforest, the property boasts an impressive tree canopy and mix of rainforest species; there are also spectacular views from the higher reaches .
Features:
-Elevated rainforest block
-Immediate proximity to Babinda township
-High rainfall area
-Located at the end of a quiet cul-de-sac
-Flanked by national park
-Existing cleared potential home site at lower elevation
-Commanding views
Babinda is a rural town located on the Bruce Highway in immediate proximity to larger regional centres, with Cairns 60 km* to the north, and Innisfail 32 km* to the south. The town's stunning location is shadowed by two of Queensland's highest mountains; Mount Bartle Frere and Mount Bellenden Ker, which form part of the World Heritage listed Wooroonooran National Park. Babinda offers a range of services and amenities including, a school, shopping, banking and government facilities as well as a variety of sporting, recreational facilities and tourist attractions.
Lot 59 Nelson Road is for sale at the listed price of $225,000. For more information, contact Stacey Quaid on 0418 773 258.
*approximately
Colliers - a leader in global real estate services, defined by our spirit of enterprise. Through a culture of service excellence and collaboration, we integrate the resources of real estate specialists worldwide to accelerate the success of our partners. We represent property investors, developers and occupiers in local and global markets. Our expertise spans all property sectors - office, industrial, retail, residential, rural & agribusiness, healthcare & retirement living, hotels & leisure. Colliers is Australia's own global real estate success story.",0.01m²,Development/Land,-17.3263812,145.928046
89,"4/79 Wheatley Drive, Bull Creek, WA 6149 - For Sale - Medical ","$349,000",Service Available - Hybrid Fibre Coaxial (HFC),"79 Wheatley Drive, Bull Creek, WA","Professional office / medical suite in a small complex for 4.
Ideal For:
- Office
- Medical
- Professional Lawyer - Accountant
Located on Wheatley Drive and within walking distance to the convenience shopping centre on Parry Avenue, this strata unit is set up with three (3) offices / consulting rooms and a separate waiting room.
The suite has holding income at $23,064 per annum net.
Areas: 88sqm
Outgoings: $85sqm
Available: Now
For more information or to arrange an inspection, please contact Con or Enzo today..",88m²,Offices,-32.0574551,115.865739
90,"9/40 Annerley Road, Woolloongabba, QLD 4102 - For Sale - Medical ",Contact Agent,N/A,"40 Annerley Road, Woolloongabba, QLD","Elders Commercial Brisbane are please to present to the market for SALE an exciting medical unit within the Taylor Medical Centre in Woolloongabba. 9/40 Annerley Road offers 169m2 of medical/consulting space, with 72m2 occupied to Snorex this opportunity presents itself to Investors or Owner Occupiers looking to establish themselves within a tightly held medical precinct while receiving passive income. The Taylor Medical centre is home to several national medical tenants and boasts onsite car parking and is a highly exposed corner block positioning. 9/40 Annerley Road can be accessed via a common lift/stairwell from Catherine Street or an exclusive stairwell on Annerley Road which leads you into a exclusive use patient waiting area.
Further features of the property include:
- 169m2 total floor area
- 72m2 tenanted - Snorex
- 58m2 vacant tenancy
- 39m2 exclusive use patient waiting area
- Vacancy configured with three (3) large consulting rooms
- Exclusive stairwell access via Annerley Road
- Common stairwell/lift access via Catherine Street
For more information or to arrange an inspection, please contact your exclusive Elders Commercial Agents today or request the comprehensive information memorandum!",169m²,Offices,-27.4880949,153.0288771
91,"Suite 305, 1 Queens Road, Melbourne, VIC 3004 - For Sale - Offices - ID: 386818","$52,000",Service Available - Fibre to the building (FTTB),"1 Queens Road, Melbourne, VIC","This a great opportunity to own and occupy an entry level office within a first-class business address. Eliminate your rental costs and to move your business into a professional setting with onsite support services and a thriving business community.
Experience support and convenience second to none as soon as you step inside St Kilda Rd Towers, with a range of amenities on-site including meeting and boardrooms for hire, professional reception services, a fully equipped gym, and secure undercover parking available (at an additional cost). You’ll find a range of cafés and dining options plus a drycleaner, all within the ground floor retail complex.
This desirable location benefits its community with nearby major transport links and tram stops providing an easy commute for all. Offering a complete balanced lifestyle, St Kilda Rd Towers is close to iconic Melbourne landmarks such as the NGV, Rod Laver Arena, and MCG. You can explore the nearby entertainment precincts of Chapel St and Toorak Rd or take a break from the office and head to the Royal Botanic Gardens at lunch for a stroll around the Tan.
For further information or to arrange and inspection, contact MCO on 1300 652 532.",15m²,NaN,-37.8357683,144.9738758
92,"105, 40 - 48 Atchison Street, St Leonards, nsw 2065 - For Sale - Offices ",Contact Agent,Service Available - Fibre to the building (FTTB),"48 Atchison Street, St Leonards, NSW","Ground floor office in heart of St Leonards. Easy walk to train, shops and cafes. Bright and spacious space to suit a variety of uses.
Property features include:
* 350m from future Crows Nest Metro
* 450m from St Leonards Station
* 800m walk to RNSH
* Easy ground floor level access
* Generous reception
* 3 offices + boardroom
* Cabling throughout
* Secure parking
* Fully furnished
Contact Sutton Anderson for more information today!",77m²,Medical,-33.8227014,151.197996
